Address,Latitude,Longitude,TspNum,TspDst,AtrNum,AtrDst,EdcNum,EdcDst,HthNum,HthDst,RstNum,RstDst,RtlNum,RtlDst
1928 N 49TH ST,43.05587515,-87.97443747687093,59352,5748.262343804789,602,5646.221930709847,62,5777.035890753574,1,8321.313183959357,364,5981.397705862931,1536,5507.012159105507
1932-1934 N 49TH ST,39.9677575735345,-75.21870975044109,24729,5652.520441219933,588,5385.341356179589,225,5731.454163309038,4,6275.0237738712885,678,5540.854982613469,1653,5855.781563858552
1802 N 49TH ST,41.2764179,-95.98806029810683,19368,5192.877740322592,351,5920.6911344006685,88,5538.777149270079,10,4030.6255432129146,193,5535.270080539251,460,5507.576000851459
1738-1740 N 49TH ST,39.9677575735345,-75.21870975044109,24729,5652.520441219933,588,5385.341356179589,225,5731.454163309038,4,6275.0237738712885,678,5540.854982613469,1653,5855.781563858552
1750-1752 N 51ST ST,39.97344529857493,-75.22396428877157,24915,5905.429786578304,617,5757.777997346629,224,5809.09987461948,4,6652.70364257742,691,6008.378674886923,1648,6016.912815973287
4409 W LISBON AV,43.0584038,-87.9692056337272,58937,5662.635989914933,599,5480.100618605353,61,5610.42481079947,1,8765.968564302419,366,5940.091649529491,1524,5489.599329241629
4410-4412 W LLOYD ST,43.05789696222509,-87.95506926982611,58205,5523.652718639017,583,4742.000856906542,57,5083.1348696156965,1,9316.053393453672,357,5438.466522513079,1486,5397.762259788894
4414-4416 W LLOYD ST,43.05789696222509,-87.95506926982611,58205,5523.652718639017,583,4742.000856906542,57,5083.1348696156965,1,9316.053393453672,357,5438.466522513079,1486,5397.762259788894
4510-4512 W LLOYD ST,43.05789696222509,-87.95506926982611,58205,5523.652718639017,583,4742.000856906542,57,5083.1348696156965,1,9316.053393453672,357,5438.466522513079,1486,5397.762259788894
2140-2142 N 46TH ST,39.96786451372915,-75.21367058311868,24796,5509.655176629812,589,5151.295157298332,234,5880.467721834389,4,5948.364311615571,684,5336.732106351054,1692,5836.271830123798
2027-2029 N 47TH ST,39.96530885943289,-75.21530402375508,24659,5525.670175042492,577,5176.338565496652,228,5764.071177419104,4,6052.587998831656,685,5372.690807055011,1688,5851.327896312564
1931 N 47TH ST,43.055952500000004,-87.97277336446108,59367,5726.300144577842,600,5558.6975378946245,62,5747.336006408144,1,8389.996856022348,367,5965.951113694395,1530,5480.8938519247695
1932 N 48TH ST,43.05591375,-87.97331263124735,59377,5734.231644425288,600,5581.826172281598,62,5756.865842412855,1,8366.203562000434,367,5981.106261493318,1532,5489.168182098293
1809-1811 N 47TH ST,47.66287094376689,-122.33441649999381,43237,5070.439112317221,1499,5390.105144235133,56,5198.932302343785,1,6019.721954699247,1137,4908.163595881325,2789,4939.856364589113
1828 N 48TH ST,43.05487335,-87.97328030421176,59469,5737.872047990083,600,5547.383729897829,62,5763.117462638362,1,8264.492439185473,368,5957.06932049364,1540,5499.449998799278
2142 N 51ST ST,47.665973,-122.33185934964689,42907,5075.010149020596,1503,5494.424511120976,58,5375.574876930494,1,6341.648024994519,1123,5006.826564497993,2768,5017.410741315208
2130-2132 N 49TH ST,39.9677575735345,-75.21870975044109,24729,5652.520441219933,588,5385.341356179589,225,5731.454163309038,4,6275.0237738712885,678,5540.854982613469,1653,5855.781563858552
2144 N 49TH ST,43.058146550000004,-87.97443130733764,58999,5731.566699010401,602,5723.491720673175,62,5768.083700236386,1,8548.39970928473,362,6037.2757991995095,1525,5507.875488820189
2123-2125 N 48TH ST,39.96572170061602,-75.2165843740975,24669,5567.475797614354,579,5246.951618063606,227,5750.756426628326,4,6135.256203569563,684,5436.929264097515,1680,5863.395175104848
2129 N 48TH ST,43.057833450000004,-87.97387220769231,59036,5724.762321723667,602,5687.1575300301965,62,5758.983880564979,1,8536.890068916187,362,6009.143637808423,1527,5505.559906713347
2155-2157 N 48TH ST,39.96572170061602,-75.2165843740975,24669,5567.475797614354,579,5246.951618063606,227,5750.756426628326,4,6135.256203569563,684,5436.929264097515,1680,5863.395175104848
3508 W SARNOW ST,43.053000850000004,-87.95795913892198,59209,5582.140540119576,594,4779.738527811993,57,5112.8554523793255,1,8735.107465373329,363,5406.629970413239,1507,5365.159851450582
2001-2003 N 38TH ST,39.972354006762984,-75.19928985508416,25236,5292.401488416835,599,4644.0908284555535,236,5933.641974224145,4,5124.247854872408,706,5004.638721144435,1802,5856.936773864634
2034 N 39TH ST,33.470366,-111.997422,37010,6436.440442412967,450,6361.058896261265,48,7093.059797555707,3,8016.150745618113,438,6840.465086010424,1441,6770.5792432642975
1929-1931 N 38TH ST,39.972354006762984,-75.19928985508416,25236,5292.401488416835,599,4644.0908284555535,236,5933.641974224145,4,5124.247854872408,706,5004.638721144435,1802,5856.936773864634
1958 N 38TH ST,43.05631615,-87.96091746891386,58935,5585.913841224362,595,5021.475363396112,58,5243.7919316080115,1,8906.494735996606,358,5537.978841255973,1499,5381.516979301103
2137 N 41ST ST,43.0583094,-87.96492065435069,58778,5610.834269985766,599,5295.577292396502,59,5388.659845902169,1,8926.237301226414,358,5723.507166561072,1502,5419.598732996585
2010 N 41ST ST,43.0567927,-87.9644638,58999,5615.331906924807,600,5227.105691755852,59,5380.331352297131,1,8799.778630453173,363,5712.760141935301,1510,5416.970919007306
2013-2015 N 41ST ST,39.960761054240685,-75.205386813311,24402,5223.695253440798,567,4747.338372575617,233,5855.19130134721,4,5450.86178560909,694,4894.522243122946,1775,5826.212711968308
4018 W LISBON AV,43.0562153,-87.96394831029039,59106,5616.81211888643,599,5176.429355987181,59,5372.644425633715,1,8766.454049588423,363,5677.422685846323,1513,5416.901431801023
2207 N 38TH ST,43.0594611,-87.96135562585113,58488,5574.642146277305,593,5147.457971480332,59,5337.804343695509,1,9184.298489613591,356,5648.109520913918,1488,5406.775070442879
3725 W GARFIELD AV,43.059088450000004,-87.96076927464622,58473,5567.784797660426,593,5108.0124374756,59,5327.796253332283,1,9173.855455449995,356,5617.137699986638,1488,5400.606099952743
2138-2140 N 37TH ST,39.96035106449095,-75.19536619855131,24530,5065.189082950796,566,4394.388569371072,236,5932.099797747225,4,4883.675977058869,697,4482.320591196142,1828,5756.547084486004
3807 W SARNOW ST,43.054473599999994,-87.96162933169273,59233,5604.547320911509,598,5011.665691600397,58,5254.37043000715,1,8702.98985907892,363,5553.357675573628,1514,5397.207896923115
1853-1855 N 39TH ST,39.960661581832596,-75.20002043084351,24533,5139.478829785265,566,4535.633156582398,236,5918.884801494139,4,5138.3508818268365,697,4676.6713516914,1811,5801.174152754455
1842 N 40TH ST,43.0542569,-87.96332774614385,59329,5622.008758007453,599,5083.333791131649,58,5284.020890600564,1,8608.09832529444,368,5651.549261946089,1523,5418.571533900859
